Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
29-07-2016,655.218,231267,822289,285739,2.13493E+11,1.53E+18,0.816,959699567,0.205,0.113,9.796,6057,261.94,113337,19.244,3.786,655.111023,657.796021,654.786011,656.992004,656.992004,60703500
30-07-2016,655.252,199365,870078,259026,2.13493E+11,1.41E+18,0.72,539162962,0.216,0.122,12.101,6169,237.837,306460,19.245,4.234,657.012024,658.223022,654.208984,655.046997,655.046997,38456100
31-07-2016,636.085,192100,794489,253688,2.13493E+11,1.47E+18,0.865,774259277,0.24,0.127,9.351,6148,210.89,420832,19.148,3.635,655.099976,655.284973,624.36499,624.68103,624.68103,110818000
01-08-2016,620.444,224896,814100,297435,2.13493E+11,1.55E+18,0.793,738715349,0.202,0.112,9.412,4759,209.399,447337,19.093,3.688,624.60199,626.119019,605.883972,606.271973,606.271973,121887000
02-08-2016,595.245,250944,859259,322032,2.10856E+11,1.69E+18,0.707,1511811162,0.193,0.119,9.351,8385,270.347,470680,19.126,4.059,606.396973,612.848022,531.333984,547.465027,547.465027,330932992
03-08-2016,552.184,241616,790970,313210,2.01893E+11,1.57E+18,0.754,838752182,0.173,0.099,8.675,5732,217.449,447802,19.035,3.521,548.656006,573.359985,541.546997,566.35498,566.35498,207982000
04-08-2016,572.822,231682,780660,300089,2.01893E+11,1.58E+18,0.72,1222587226,0.172,0.104,9.412,7424,209.275,437325,19.005,3.511,566.328979,579.495972,565.776978,578.289001,578.289001,125292000
05-08-2016,573.026,228075,700963,299098,2.01893E+11,1.64E+18,0.763,946683575,0.187,0.0942,8.521,5752,186.638,418707,18.952,3.411,578.281006,578.281006,569.981995,575.04303,575.04303,66127900
06-08-2016,575.443,195503,619162,262990,2.01893E+11,1.74E+18,0.706,559429850,0.176,0.078,8.675,4472,178.387,387108,18.905,2.798,575.030029,588.395996,569.468994,587.778015,587.778015,80797296
07-08-2016,589.396,192266,768238,248428,2.01893E+11,1.52E+18,0.744,607206279,0.205,0.106,9.73,5744,207.689,390587,19.268,3.497,587.770996,597.513,586.815979,592.690002,592.690002,82398400
08-08-2016,589.032,235147,839163,303025,2.01893E+11,1.45E+18,0.785,656253005,0.217,0.11,9.73,4933,182.989,469541,19.28,4.467,592.736023,592.994019,588.046997,591.054016,591.054016,61194100
09-08-2016,586.113,231276,880452,306931,2.01893E+11,1.47E+18,0.648,920698003,0.188,0.113,11.613,5678,205.026,430639,19.242,4.576,591.038025,591.091003,584.79303,587.801025,587.801025,92228096
10-08-2016,589.594,244589,834539,319379,2.01893E+11,1.46E+18,0.795,910509059,0.182,0.113,9.536,5238,175.258,488493,19.084,3.85,587.64801,599.984009,586.370972,592.103027,592.103027,102905000
11-08-2016,592.19,254365,860390,330506,2.01893E+11,1.39E+18,0.835,784485327,0.186,0.118,9.6,5245,177.694,463192,18.821,4.091,592.124023,597.541992,589.119995,589.119995,589.119995,74514400
12-08-2016,586.987,232824,805191,307572,2.01893E+11,1.53E+18,0.744,828930539,0.178,0.107,9.664,4847,215.464,437955,18.774,3.662,588.797974,589.909973,583.810974,587.559021,587.559021,69218000
13-08-2016,586.74,214406,665032,274992,2.01893E+11,1.64E+18,0.752,608757705,0.172,0.0987,8.834,5602,210.047,410826,18.771,2.99,587.356995,589.773987,584.979004,585.588013,585.588013,43563000
14-08-2016,576.272,200011,639670,270190,2.01893E+11,1.60E+18,0.755,578163806,0.178,0.104,8.834,4944,196.67,394563,18.769,2.938,585.588989,585.666016,564.781006,570.473022,570.473022,60851100
